COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808620460	"CALVI Gerolamo-DI TEODORO Francesco Paolo"	"I manoscritti di Leonardo da Vinci dal punto di vista cronologico, storico e biografico"			"Volume unico"	4900	400	"Con un saggio introduttivo di Lucia Bertolini, , 165x245, 2019"
9788808210395	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Volume 1"	1530	288	"210x285, 2014"
9788808300898	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Volume 3"	1480	280	"210x285, 2014"
9788808435064	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Volume In poche parole"	920	168	"230x285, 2014"
9788808701114	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Confezione A+B+C+D"	3490	800	"210x285, 2014"
9788808801203	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Confezione A+B+C+D"	4110	800	"210x285, 2014"
9788808900883	"PINI Lorenza-VERONESI Paola-ZANOLI Rossana"	"Libro visuale - Scopriamo la natura"			"Volume 2"	1340	248	"210x285, 2014"
9788808316295	"TARULLO Stefano"	"Manuale di diritto amministrativo"		"Seconda edizione"	Ebook	5680	0	", , 0x0, 2020"
9788808420176	"TARULLO Stefano"	"Manuale di diritto amministrativo"		"Seconda edizione"	"Volume unico"	7800	872	", , 170x240, 2020"
9788808149114	"FIOCCHI Patrizia-MORRIS David"	"The Business Way"			"Volume unico"	2730	320	"197x285, 2012"
9788808179562	"FIOCCHI Patrizia-MORRIS David"	"The Business Way"			"Volume unico con risorse digitali Scuolabook"	3180	480	"197x286, 2012"
9788808194602	"FIOCCHI Patrizia-MORRIS David"	"The Business Way"			"Volume unico multimediale con CD-ROM"	3730	480	"197x285, 2012"
9788808620767	"TARULLO Stefano"	"Giustizia amministrativa"			"Volume unico"	5050	504	", , 170x240, 2017"
9788808320742	"TIBONE Federico"	"Progettare e programmare"			"Volume 1"	2560	408	", , 210x285, 2018"
9788808424921	"TIBONE Federico"	"Progettare e programmare"			"Volume 2"	2270	360	", , 210x285, 2018"
9788808816474	"TIBONE Federico"	"Progettare e programmare"			"Volume 3"	1480	216	", , 210x285, 2018"
9788808709110	"TIBONE Federico"	"Progettare e programmare"			"Volume 2 con Python"	2270	360	", , 210x285, 2018"
9788808914675	"TIBONE Federico"	"Progettare e programmare"			"Volume 2 con Java"	2270	360	", , 210x285, 2018"
9788808232953	"AGAZZI Pierangelo-VILARDO Massimo"	Hellenistì	"Corso di lingua e cultura greca"	"quarta edizione"	"Esercizi 1"	2620	592	", , 197x265, 2018"
9788808520746	"AGAZZI Pierangelo-VILARDO Massimo"	Hellenistì	"Corso di lingua e cultura greca"	"quarta edizione"	Manuale	2620	464	", , 197x265, 2018"
9788808555984	"AGAZZI Pierangelo-VILARDO Massimo"	Hellenistì	"Corso di lingua e cultura greca"	"quarta edizione"	"Quaderno di ripasso 2"	900	80	", , 197x265, 2018"
9788808927958	"AGAZZI Pierangelo-VILARDO Massimo"	Hellenistì	"Corso di lingua e cultura greca"	"quarta edizione"	"Esercizi 2"	2760	432	", , 197x266, 2018"
9788808947536	"AGAZZI Pierangelo-VILARDO Massimo"	Hellenistì	"Corso di lingua e cultura greca"	"quarta edizione"	"Quaderno di ripasso 1"	980	96	", , 195x265, 2018"
9788808221339	"BALDISSERA Eros"	"Arabo compatto"	"Dizionario Italiano-Arabo Arabo-Italiano"	"Terza edizione"	"Volume unico"	1700	576	", , 130x178, 2017"
9788808335166	"ROMENI Claudio"	"La fisica di tutti i giorni"			"Volume 5"	2680	352	"197x266, 2014"
9788808635150	"ROMENI Claudio"	"La fisica di tutti i giorni"			"Volume 1"	1820	216	"197x266, 2014"
9788808735157	"ROMENI Claudio"	"La fisica di tutti i giorni"			"Volume 2"	2400	304	"197x266, 2014"
9788808835154	"ROMENI Claudio"	"La fisica di tutti i giorni"			"Volume 3"	3060	400	"197x266, 2014"
9788808935151	"ROMENI Claudio"	"La fisica di tutti i giorni"			"Volume 4"	3120	400	"197x266, 2014"
9788808181398	"INTERNATIONAL COUNCIL OF NURSES "	"La struttura e le competenze del continuum dell'assistenza infermieristica del Consiglio Internazionale degli Infermieri"	"Serie di pubblicazioni dell'ICN sulla regolamentazione della professione infermieristica"		"Volume unico"	1250	64	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2010"
9788808420923	"VEDOVI Daniela"	"Immagini contemporanee"	"Laboratorio artistico e itinerari del Novecento"	"Seconda edizione"	"Volume unico"	2700	408	", Clitt editore. Distribuzione esclusiva Zanichelli, 230x285, 2017"
9788808699879	"KLEIN Simonetta"	"Il racconto della chimica e della Terra"			"Volume unico"	4550	704	", , 210x285, 2018"
9788808821270	"KLEIN Simonetta"	"Il racconto della chimica e della Terra"			"Volume primo biennio"	2720	336	", , 210x285, 2018"
9788808847690	"KLEIN Simonetta"	"Il racconto della chimica e della Terra"			"Volume secondo biennio"	3340	384	", , 210x285, 2018"
9788808063397	"LEWIS Michael"	"La chimica in sintesi"	"per ripassare e prepararsi ai Test di ammissione all'università"		"Volume unico"	1020	96	"197x266, 2014"
9788808193612	"ISRAEL Giorgio-MILLÁN GASCA Ana"	"Pensare in matematica"			"Volume unico + ebook"	4950	544	"170x240, 2012"
9788808439291	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Confezione 4 con Tutor"	3930	920	", , 197x266, 2016"
9788808643780	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Volume 3G"	3390	760	", , 197x265, 2016"
9788808721211	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Confezione 3 con Tutor"	3930	880	", , 197x266, 2016"
9788808837837	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Confezione 3"	3600	880	", , 197x266, 2016"
9788808831538	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Confezione 4"	3620	920	", , 197x266, 2016"
9788808743831	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Volume 5 con Tutor"	2040	240	", , 197x265, 2016"
9788808868442	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Modulo Epsilon"	1430	200	", , 196x265, 2016"
9788808289346	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Volume 5"	1900	240	", , 197x265, 2016"
9788808708601	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	Matematica.verde		"Seconda edizione"	"Modulo K"	1100	112	", , 196x265, 2016"
9782278076352		"Le coeur à rire et à pleurer (B2)"			"Volume unico B2"	1520	0	"125x190, 2013"
9788808421050	"AULETTA Ferruccio"	"I controlli nelle società pubbliche"			"Volume unico"	7240	368	", , 180x245, 2017"
9788808321176	"DI PACE Massimiliano"	"Capire l'economia"			"La realtà economica e i suoi attori"	2730	552	", , 197x266, 2016"
9788808735829	"DI PACE Massimiliano"	"Capire l'economia"			"Capire l'economia pubblica"	2090	384	", , 197x266, 2016"
9788808920560	"GHENO Vera"	"La tesi di laurea"	"Ricerca, scrittura e revisione per chiudere in bellezza"		"Volume unico"	1190	152	", , 128x200, 2019"
9788808187031	"MENCUCCINI Corrado-SILVESTRINI Vittorio"	"Esercizi di Fisica - Elettromagnetismo e Ottica"			"Volume unico"	2240	176	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2016"
9788808095077	"AMANDOLA Giancarlo-TERRENI Virginio"	"Analisi chimica, strumentale e tecnica"		"Sesta edizione"	"Volume unico"	6250	720	"200x270, 1997"
9788808220554	"BRADY James E-HYSLOP Alison-JESPERSEN Neil D.-PIGNOCCHINO Maria Cristina"	Chimica.blu		"Seconda edizione"	"Dalla materia alle proprietà periodiche"	1980	232	", , 210x285, 2020"
9788808354266	"BRADY James E-HYSLOP Alison-JESPERSEN Neil D.-PIGNOCCHINO Maria Cristina"	Chimica.blu		"Seconda edizione"	"Dagli equilibri all'elettrochimica"	2390	280	", , 210x285, 2020"
9788808374998	"BRADY James E-HYSLOP Alison-JESPERSEN Neil D.-PIGNOCCHINO Maria Cristina"	Chimica.blu		"Seconda edizione"	"Dal legame chimico alle soluzioni"	1940	208	", , 210x285, 2020"
9788808854650	"BRADY James E-HYSLOP Alison-JESPERSEN Neil D.-PIGNOCCHINO Maria Cristina"	Chimica.blu		"Seconda edizione"	"Dal legame chimico all'elettrochimica"	3600	480	", , 210x285, 2020"
9788808221186	"CARRADA Luisa-TREQUADRINI Claudia"	"Studio, dunque scrivo"			"Volume unico"	2080	352	", , 170x240, 2015"
9788808599445	"FORMICHI Fiorenzo-MEINI Giorgio"	"Tecnologie e progettazione di sistemi informatici e di telecomunicazioni"	"per Informatica"	"Seconda edizione"	"Volume 2"	2200	288	", , 197x265, 2017"
9788808878809	"FORMICHI Fiorenzo-MEINI Giorgio"	"Tecnologie e progettazione di sistemi informatici e di telecomunicazioni"	"per Informatica"	"Seconda edizione"	"Volume 3"	2690	416	", , 197x266, 2017"
9788808920997	"FORMICHI Fiorenzo-MEINI Giorgio"	"Tecnologie e progettazione di sistemi informatici e di telecomunicazioni"	"per Informatica"	"Seconda edizione"	"Volume 1"	2170	328	", , 197x266, 2017"
9788808237477	"BALESTRA Augusto-MOLICA FRANCO Marianna-SCOTTI Monica-SISANA Lucio"	"In partes tres"			"Volume 3"	2670	648	", , 197x266, 2016"
9788808352880	"BALESTRA Augusto-MOLICA FRANCO Marianna-SCOTTI Monica-SISANA Lucio"	"In partes tres"			"Volume 1"	2540	648	", , 197x266, 2016"
9788808837462	"BALESTRA Augusto-MOLICA FRANCO Marianna-SCOTTI Monica-SISANA Lucio"	"In partes tres"			"Volume 2"	2240	528	", , 197x265, 2016"
9788808937452	"BALESTRA Augusto-MOLICA FRANCO Marianna-SCOTTI Monica-SISANA Lucio"	"In partes tres"			"Confezione Volume 1+Testi e temi di versione"	3300	936	", , 197x265, 2016"
9788808217790	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	Chimica.verde		"seconda edizione di Immagini della chimica"	"Volume 2"	1960	240	", , 230x285, 2018"
9788808511454	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	Chimica.verde		"seconda edizione di Immagini della chimica"	"Idee per imparare"	1120	160	", , 197x265, 2018"
9788808549631	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	Chimica.verde		"seconda edizione di Immagini della chimica"	"Volume 1"	1960	232	", , 230x285, 2018"
9788808720955	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	Chimica.verde		"seconda edizione di Immagini della chimica"	"Volume unico"	3430	464	", , 230x285, 2018"
9788808175014	"MATTEO Paola-MONTAGNESE Paola"	"Qualità e benessere a tavola"	"Scienza e cultura dell'alimentazione per i Servizi di Enogastronomia e di Sala e vendita"		"Volume per il quarto e quinto anno con risorse digitali Scuolabook"	3390	488	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2012"
9788808921307	"LA CECLA Franco-NICOLA Francesca"	"Culture in viaggio"	"Corso di Antropologia"		"Volume unico"	2290	432	", , 197x265, 2018"
9788808166203	"VULLO Enzo"	"Il nuovo processo del lavoro"			"Volume unico"	9140	488	", , 180x245, 2015"
9788808314611	"GINEPRINI Mario-PANEBIANCO Beatrice-PISONI Cecilia-REGGIANI Loretta"	"Con le parole giuste"			"Grammatica, lessico e storia della lingua"	2120	624	", , 197x265, 2019"
9788808420671	"GINEPRINI Mario-PANEBIANCO Beatrice-PISONI Cecilia-REGGIANI Loretta"	"Con le parole giuste"			"Confezione Grammatica, lessico e storia della lingua + Testi, comunicazione e scrittura"	3170	944	", , 197x265, 2019"
9788808732866	"GINEPRINI Mario-PANEBIANCO Beatrice-PISONI Cecilia-REGGIANI Loretta"	"Con le parole giuste"			"Testi, comunicazione e scrittura"	1510	320	", , 197x265, 2019"
9788808862785	"GINEPRINI Mario-PANEBIANCO Beatrice-PISONI Cecilia-REGGIANI Loretta"	"Con le parole giuste"			"Idee per imparare"	1010	208	", , 197x266, 2019"
9788808378248	"GINEPRINI Mario-PANEBIANCO Beatrice-PISONI Cecilia-REGGIANI Loretta"	"Con le parole giuste"			"Volume unico"	2480	784	", , 197x266, 2019"
9788808621023	"DEL PRATO Enrico"	"Lo spazio dei privati. Scritti"			"Volume unico"	6800	656	", , 180x245, 2016"
9788808323705	"PULVIRENTI Emanuela"	Artemondo			"Confezione volume A + Album"	2320	608	", , 230x285, 2018"
9788808646736	"PULVIRENTI Emanuela"	Artemondo			"Idee per imparare Storia dell'arte"	900	152	", , 230x285, 2018"
9788808821102	"PULVIRENTI Emanuela"	Artemondo			"Confezione volume A + Album + volume B"	3020	800	", , 230x285, 2018"
9788808931481	"PULVIRENTI Emanuela"	Artemondo			"Volume B"	1200	192	", , 23x285, 2018"
9788808182739	"BERTINI Ivano-LUCHINAT Claudio-MANI Fabrizio"	"Chimica: materia, tecnologia, ambiente"		"Prima edizione"	"Volume unico"	5000	576	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2016"
9788808084286	"FURNISS B.s-HANNAFORD A-ROGERS V-SMITH P.W.G-TATCHELL A.r.-VIDARI Giovanni"	"Vogel Chimica organica pratica"	"Con analisi organica qualitativa"	"Seconda edizione"	"Volume unico"	16250	1448	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 185x260, 1988"
9788808157713	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume Unico"	3490	408	"197x266, 2014"
9788808334848	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume unico"	3080	408	"197x266, 2014"
9788808534835	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume 1"	1900	232	"197x266, 2014"
9788808634825	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume 1"	2200	232	"197x266, 2014"
9788808734822	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume 2"	1780	176	"197x266, 2014"
9788808734839	"GENTILE Antonino-TIFI Alfredo-VALITUTTI Giuseppe"	"Esploriamo la chimica.verde PLUS"		"seconda edizione di Esploriamo la chimica"	"Volume 2"	1600	176	"197x266, 2014"
9788808600745	"RIPPA Mario"	"La Chimica di Rippa"		"edizione blu"	"Percorsi di chimica con Laboratorio delle competenze"	1680	176	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 197x285, 2014"
9788808066916	"LEOPARDI Giacomo"	"Zibaldone di pensieri"	"In CD-ROM. Edizione critica a cura di Fiorenza Ceragioli e Monica Ballerini"		CD-ROM	4980	0	"--, 135x190, 2009"
9788808420992	"EDIGEO "	"il Mini di Francese"	"Dizionario Francese-Italiano italiano-Francese"	"Seconda edizione"	"Volume unico"	800	640	", , 80x112, 2017"
9788808327741	"SCRIBEDIT "	"Parole per viaggiare Giapponese"			Volume	1080	216	"115x160, 2012"
9788808220714	"COMOGLIO Federico-INVERNIZZI Sergio-RINALDI Maurizio"	"Moduli di matematica e statistica"	"Con l'uso di R"	"Seconda edizione"	"Volume unico"	3330	336	", , 197x270, 2018"
9788808303325	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Volume 3"	2590	656	", , 195x265, 2017"
9788808332691	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Volume 2"	2530	640	", , 197x266, 2017"
9788808504289	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Verso la prova INVALSI"	580	104	", , 195x265, 2017"
9788808621160	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Confezione Volume 1 + Epica e letteratura"	2730	1056	", , 197x265, 2017"
9788808778376	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Idee per imparare"	1410	304	", , 197x265, 2017"
9788808973672	"BRUNI Valeria-CERANA Pinuccia-PEGORARO Renato"	Navigando	"Antologia di italiano"		"Epica e letteratura"	1880	416	", , 197x265, 2017"
9788808721112	"GATTO Carmen"	"Progettiamo e realizziamo"	"La relazione d'aiuto nelle Metodologie operative"	"seconda edizione"	"Volume unico"	2500	336	", Clitt editore. Distribuzione esclusiva Zanichelli, 230x285, 2016"
9788808820433	"FINOCCHIARO Giusella"	"La protezione dei dati personali in Italia"	"Regolamento UE n. 2016/679 e d.lgs. 10 agosto 2018, n. 101"		"Volume unico"	18900	1048	", , 180x245, 2019"
9788808821072	"BONCI Laura-HOWELL Sarah M"	"Grammar in Progress"		"Terza edizione"	"Volume unico"	3050	624	", , 210x285, 2018"
9788808951168	"BONCI Laura-HOWELL Sarah M"	"Grammar in Progress"		"Terza edizione"	"Confezione 3 CD audio per la classe"	4030	0	", , 140x125, 2018"
9788808164223	"AIELLO Marco"	"La responsabilità degli amministratori e dei soci delle s.r.l."	"Reciproche interferenze tra tipi societari"		"Volume unico"	7270	408	"180x245, 2013"
9788808058874		"Le operazioni di finanziamento"	"bancario, societario, sull'estero, al consumatore, strutturato, a mezzo garanzia, pubblico. Opera ideata e diretta da Francesco Galgano"		"Volume unico + eBook"	30700	2064	"Opera proseguita e curata da E. Panzarini con A. A. Dolmetta, S. Patriarca, , 180x245, 2016"
9788808501042	"MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina"	"L'ora di storia"		"Terza edizione"	"Volume 3"	2660	392	"210x285, 2014"
9788808801043	"MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina"	"L'ora di storia"		"Terza edizione"	"Volume 3 In poche parole"	600	72	"210x235, 2014"
9788808343987	"IANNUCCI Alessandro-LONGO Fatima"	"Unitutor Professioni sanitarie 2020"	"Test di ammissione per Professioni sanitarie, Biotecnologie, Farmacia, CTF e Scienze biologiche"		"Volume unico + ebook"	4900	1200	", , 197x270, 2020"
9788808221070	"FEYNMAN Richard P-LEIGHTON Robert B-SANDS Matthew"	"La Fisica di Feynman"		"Edizione Millennium"	"Confezione 3 volumi con eBook"	13800	1550	"Basata sulla traduzione aggiornata e rivista di G. Altarelli, C. Chiuderi, E. Clementel, S. Focardi, S. Franchetti, L. Monari, G. Toraldo, , 205x280, 2017"
9788808478153	"FEYNMAN Richard P-LEIGHTON Robert B-SANDS Matthew"	"La Fisica di Feynman"		"Edizione Millennium"	"Volume 1 con eBook"	5200	550	"Basata sulla traduzione aggiornata e rivista di G. Altarelli, C. Chiuderi, E. Clementel, S. Focardi, S. Franchetti, L. Monari, G. Toraldo, , 205x278, 2017"
9788808606297	"FEYNMAN Richard P-LEIGHTON Robert B-SANDS Matthew"	"La Fisica di Feynman"		"Edizione Millennium"	"Volume 2 con eBook"	5300	600	"Basata sulla traduzione aggiornata e rivista di G. Altarelli, C. Chiuderi, E. Clementel, S. Focardi, S. Franchetti, L. Monari, G. Toraldo, , 205x278, 2017"
9788808733641	"FEYNMAN Richard P-LEIGHTON Robert B-SANDS Matthew"	"La Fisica di Feynman"		"Edizione Millennium"	"Volume 3 con eBook"	3580	400	"Basata sulla traduzione aggiornata e rivista di G. Altarelli, C. Chiuderi, E. Clementel, S. Focardi, S. Franchetti, L. Monari, G. Toraldo, , 205x278, 2017"
9788808534866	"BERTINETTO Clara-KANGASKORTE Anne-LAVONEN Jari-PENTTILÄ Anu-PIKKARAINEN Outi-SAARI Heikki-SIRVIÖ Jarmo-VAKKILAINEN Kirsi-maria-VIIRI Jouni"	"La chimica che ti serve"			"Volume unico Libro digitale Multimediale"	2200	288	"197x266, 2014"
9788808920294	"FIORESI Rita-MORIGI Marta"	"Introduction to linear algebra"			"Volume unico"	2350	192	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2019"
9788808720337	"FEDERLE Giovanni-STEFANI Carla"	"Progettazione grafica"		"terza edizione"	"Volume unico"	3090	368	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2020"
9788808621283	"EMILIO Marina"	Physics.CLIL			"Quantum Mechanics and Radioactivity"	900	96	", , 196x265, 2015"
9788808220899	"SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Seconda edizione"	"Volume unico"	2730	480	", , 230x285, 2017"
9788808625670	"SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Seconda edizione"	"Volume 2"	1450	168	", , 230x285, 2017"
9788808801869	"SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Seconda edizione"	"Volume 1"	1660	328	", , 230x285, 2017"
9788808811950	"SAMMARONE Sergio"	"Rappresentazione e tecnologia industriale.verde"		"Seconda edizione"	"Idee per imparare"	1130	240	", , 197x265, 2017"
9788808167132	"MARISALDI Luciano"	"Colonne d'Ercole"	Geostoria		"Volume 1"	2600	432	"210x285, 2014"
9788808801272	"MARISALDI Luciano"	"Colonne d'Ercole"	Geostoria		"Volume 2"	2560	384	"210x285, 2014"
9788808400369	"TIBONE Federico"	"Le scienze di ogni giorno"		"terza edizione di Facciamo scienze"	"Volume 3 con Laboratorio delle competenze"	1970	332	"230x285, 2013"
9788808700360	"TIBONE Federico"	"Le scienze di ogni giorno"		"terza edizione di Facciamo scienze"	"Volume ABCD ad Alta leggibilità"	1620	224	"230x285, 2013"
9788808105110	"CANEPÀRI Luciano"	"Dizionario di Pronuncia Italiana"	"il DiPI"		"Volume unico"	1320	592	"Versione brossura di Il DIPI, 150x210, 2009"
9788808081346	"BOMBI G.g.-DENBIGH Kenneth"	"I principi dell'equilibrio chimico"			"Volume unico"	5600	520	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1977"
9788808199171	"CARRADA Luisa"	"Lavoro, dunque scrivo!"	"Creare testi che funzionano per carta e schermi"		"Volume unico + risorse digitali"	2270	480	"145x210, 2012"
9788808455284	"OLIVERIO Albertina-OLIVERIO Alberto-OLIVERIO FERRARIS Anna"	Psyché		"edizione rossa"	"Volume unico"	2650	320	"197x265, 2014"
9788808237828	"BALDISSERA Eros"	"il Mini di Arabo"	"Dizionario Italiano-Arabo Arabo-Italiano"		"Volume unico"	800	720	"--, 85x120, 2009"
9788808337009	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Elementi di matematica"			"Volume A"	2970	760	", , 197x265, 2015"
9788808437006	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Elementi di matematica"			"Volume B"	1060	104	", , 195x265, 2015"
9788808536709	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Elementi di matematica"			"Volume 4"	1700	328	", , 197x266, 2015"
9788808736291	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Elementi di matematica"			"Volume 3"	1700	352	", , 197x266, 2015"
9788808736703	"BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna"	"Elementi di matematica"			"Volume 5"	1700	360	", , 195x265, 2015"
9788808363046	"FONTANA Federico-GIUDICI Pierantonio-GOFFREDO Luisa"	"Creare e gestire una struttura turistica"			"L'impresa ricettiva"	1290	176	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 197x265, 2018"
9788808720733	"FONTANA Federico-GIUDICI Pierantonio-GOFFREDO Luisa"	"Creare e gestire una struttura turistica"			"Diritto ed economia delle imprese dell'accoglienza e della ristorazione"	2520	336	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 197x265, 2018"
9788808823120	"FONTANA Federico-GIUDICI Pierantonio-GOFFREDO Luisa"	"Creare e gestire una struttura turistica"			"L'impresa della ristorazione"	1300	176	", Franco Lucisano editore. Distribuzione esclusiva Zanichelli, 197x265, 2018"
9788808464781	"BARACCO Carla-COCTON Marie-noelle-GIACHINO Luca"	"Pas à pas"		"Seconda edizione di Étapes"	"Volume 2"	2580	288	", , 210x285, 2020"
9788808689924	"BARACCO Carla-COCTON Marie-noelle-GIACHINO Luca"	"Pas à pas"		"Seconda edizione di Étapes"	"Confezione 10 CD audio per la classe"	10000	0	", , 0x0, 2020"
9788808729569	"BARACCO Carla-COCTON Marie-noelle-GIACHINO Luca"	"Pas à pas"		"Seconda edizione di Étapes"	"Grammaire inclusive"	960	136	", , 210x285, 2020"
9788808820389	"BARACCO Carla-COCTON Marie-noelle-GIACHINO Luca"	"Pas à pas"		"Seconda edizione di Étapes"	"Volume 1 + Livret de Culture"	2480	336	", , 210x287, 2020"
9788808220677	"ROMENI Claudio"	"Realtà e fisica.blu"		"Seconda edizione"	"Volume unico"	2850	480	", , 197x265, 2018"
9788808321022	"FRANZONI Massimo"	"Diritto delle assicurazioni"			"Volume unico"	4210	352	", , 170x240, 2016"
9788808520197	"PANTIERI Lorenzo"	"Informatica in officina e in laboratorio"			"Volume unico"	1800	240	", , 197x266, 2020"
9788808620941		"tradurre. pratiche teorie strumenti"	"Un'antologia dalla rivista, 2011-2014"		"Volume unico"	2430	384	", , 145x210, 2017"
9788808087270	"BROSSMANN Joachim-FREYSCHMIDT Juergen-MANNELLA Paolo-STERNBERG Andreas-WIENS Juergen"	Kohler/zimmer	"Limiti del normale e inizio del patologico nella diagnostica radiologica dello scheletro"	"Quarta edizione"	"Volume unico"	33700	1128	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 225x295, 2005"
9788808420428	"AULETTA Ferruccio"	"Diritto giudiziario civile"			"Volume unico"	4900	472	", , 180x250, 2020"
9788808247636	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			Epica	1320	384	", , 197x265, 2018"
9788808469342	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			"I testi e la scrittura"	800	128	", , 195x265, 2018"
9788808522702	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			"Poesia e teatro"	1790	560	", , 195x265, 2018"
9788808875099	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			"Poesia e teatro con Letteratura delle origini"	1990	640	", , 197x265, 2018"
9788808920959	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			Narrativa	2220	720	", , 197x266, 2018"
9788808512727	"FONTANA Marzia-FORTE Laura-TALICE Maria Teresa"	"Una vita da lettori"			"Idee per imparare"	800	160	", , 195x265, 2018"
9788808920522	"CARRADA Luisa"	Paroline&Paroloni	"Attingere a piene mani al tesoro del vocabolario"		"Volume unico"	1190	128	", , 127x198, 2018"
9788808321046	"DEMURO Ivan-IBBA Carlo"	"Le società a partecipazione pubblica"	"Commentario tematico ai d.lgs. 175/2016 e 100/2017"		"Volume unico"	10960	560	", , 180x245, 2018"
