"IDLuogo";"X";"Y";"Descrizione";"Origine";"Periodo";"Sito";"Gruppo";"Tipo";"Telefono";"Strada";"Citta";"Provincia";"Regione"
101;11,98;43,27;"Porta Bifora - tracce di mura (V sec. a.C.)";"etruschi";"V a.c.";"Cortona ";"architettonico";"porta";"";"Via Roma";"Cortona";"AR";"TOS"
102;11,94;43,01;"Labirinto Porsenna - ingres.Mus.Cattedrale. P.za Duomo 7";"etruschi";"";"Chiusi ";"religione";"cattedrale";"";"Via dei Longobardi";"Chiusi";"SI";"TOS"
103;12,39;43,09;"Porta Eburnea";"etruschi";"";"Perugia ";"architettonico";"porta";"";"Via Tuderte";"Perugia";"PG";"UMB"
105;12,42;43,98;"Museo Archeologico - Via Sant'Agostino";"etruschi";"";"Verucchio ";"";"museo";"";"SP32";"Verucchio";"RN";"EMR"
106;12,12;44,67;"Valle Pega ingresso zona archeologica S.Maria in Padovetere";"etruschi";"";"Spina FE ";"musei e parchi";"zona archeologica";"";"Strada Fiume Valle Pega";"Comacchio";"FE";"EMR"
107;11,34;44,49;"Museo Archeologico";"etruschi";"";"";"";"museo";"";"";"Bologna";"BO";"EMR"
109;10,83;45,11;"Parco Archeologico - scavi";"etruschi";"";"Forcello. Bagnolo San Vito MN ";"";"parco";"";"SS413";"Bagnolo San Vito";"MN";"LOM"
110;12,47;41,91;"M.Etrusco Villa Giulia.  P.za Di Villa Giulia 9";"etruschi";"";"Roma ";"";"villa";"";"";"Roma";"RM";"LAZ"
112;12,53;42,17;"Civitucola (antica Capena IX sec a.C )";"etruschi";"IX a.c.";"Capena ";"";"";"";"Via Costa Contessina";"Capena";"RM";"LAZ"
113;12,41;42,28;"Tempio Scasato (III sec.a.C.)";"etruschi";"III a.c.";"Civita Castellana (Falerii Veteres)  ";"religione";"templi";"";"Via di Castel Sant'Elia";"Civita Castellana";"VT";"LAZ"
114;12,35;42,30;"ingresso zona archeologica";"etruschi";"";"Falerii (Falerii Novi) ";"musei e parchi";"zona archeologica";"";"Via Amerina";"Fabrica di Roma";"VT";"LAZ"
115;12,34;42,34;"Madonna d.Soccorso - tmbe rupestri. Tagliata";"etruschi";"";"Corchiano (Fescennium) ";"";"";"";"";"Corchiano";"VT";"LAZ"
116;12,27;42,38;"dintorni di Falerii";"etruschi";"";"Vignanello ";"";"";"";"SP25";"Vignanello";"VT";"LAZ"
117;12,23;42,49;"Necropoli di Montecasoli";"etruschi";"";"Bomarzo";"sepolture";"necropoli";"";"Strada della Croce";"Soriano nel Cimino";"VT";"LAZ"
118;12,13;42,47;"abitato etrusco (VIII sec.aC)";"etruschi";"VIII a.c.";"Acquarossa ";"abitato";"abitato";"";"Strada San Cataldo";"Viterbo";"VT";"LAZ"
119;12,12;42,48;"necropoli etrusca (VIII sec.aC)";"etruschi";"VIII a.c.";"Ferento ";"sepolture";"necropoli";"";"Strada Pian del Cerro";"Viterbo";"VT";"LAZ"
120;12,01;42,39;"ingresso necropoli rupestre";"etruschi";"";"Castel d'Asso";"sepolture";"necropoli";"";"Strada Procoio";"Viterbo";"VT";"LAZ"
121;11,98;42,41;"ingresso zona archeologica";"etruschi";"";"Musarna ";"musei e parchi";"zona archeologica";"";"Strada Macchia del Conte";"Viterbo";"VT";"LAZ"
122;11,94;42,33;"necropoli settore Pile";"etruschi";"";"Norchia (Norcla) ";"sepolture";"necropoli";"";"SS675";"Viterbo";"VT";"LAZ"
123;12,00;42,29;"Grotta Porcina. ingresso zona archeologica";"etruschi";"";"Vetralla ";"musei e parchi";"zona archeologica";"";"Via Aurelia Bis";"Vetralla";"VT";"LAZ"
124;12,02;42,27;"Ponte del Diavolo (I sec AC)";"etruschi";"I a.c.";"Blera";"architettonico";"ponte";"";"Via Blera";"Blera";"VT";"LAZ"
125;12,07;42,26;"VT - Tomba della Regina e necropoli di S.Giuliano";"etruschi";"";"Barbarano Romano ";"sepolture";"tomba";"";"Via Blera";"Villa San Giovanni in Tuscia";"VT";"LAZ"
126;11,95;42,22;"zona archeologica";"etruschi";"";"Luni sul Mignone ";"musei e parchi";"zona archeologica";"";"Via Blera";"Blera";"VT";"LAZ"
127;11,76;42,24;"monterozzi ingresso necropoli";"etruschi";"";"Tarquinia ";"sepolture";"necropoli";"";"Via delle Tombe Etrusche";"Tarquinia";"VT";"LAZ"
128;11,70;42,21;"zona archeologica";"etruschi";"";"Lido di Tarquinia ";"musei e parchi";"zona archeologica";"";"Via Filippo Giorgi";"Tarquinia";"VT";"LAZ"
129;11,61;42,30;"ruderi strutture del porto etrusco";"etruschi";"";"Montalto di Castro VT (Regae) ";"abitato";"ruderi";"";"Via Litoranea";"Montalto di Castro";"VT";"LAZ"
130;11,63;42,42;"Museo Archeologico - Abbadia di Vulci";"etruschi";"";"Vulci ";"";"museo";"";"";"Montalto di Castro";"VT";"LAZ"
131;11,51;42,58;"Manciano";"etruschi";"";"";"";"";"";"Strada Regionale 74 Maremmana";"Manciano";"GR";"TOS"
132;11,39;42,60;"Zona Archeologica di Ghiaccio Forte (III sec.a.C.)";"etruschi";"III a.c.";"Scansano GR ";"musei e parchi";"zona archeologica";"";"Aquilaia";"Scansano";"GR";"TOS"
133;11,65;42,65;"tombe a dado sul Folonia";"etruschi";"";"Sovana  ";"sepolture";"tomba";"";"";"Sorano";"GR";"TOS"
134;11,88;42,56;"sepolcreti - Visentium";"etruschi";"";"Capodimonte (Bisenzio) ";"sepolture";"sepolcreto";"";"Strada Martana";"Capodimonte";"VT";"LAZ"
135;11,99;42,65;"Poggio Moscini - zona archeologica";"etruschi";"";"Bolsena";"musei e parchi";"zona archeologica";"";"SP53";"Bolsena";"VT";"LAZ"
136;12,10;42,72;"Necropoli Crocifisso del Tufo";"etruschi";"";"Orvieto ";"sepolture";"necropoli";"";"SR71ter";"Orvieto";"TR";"UMB"
137;12,38;42,45;"Necropoli etrusca S.Bernardino (VII sec.aC)";"etruschi";"VII a.c.";"Orte ";"sepolture";"necropoli";"";"SS675";"Orte";"VT";"LAZ"
138;12,34;42,24;"Via Etruria - mura etrusche";"etruschi";"";"Nepi VT (Nepet) ";"difesa";"mura";"";"SP38";"Nepi";"VT";"LAZ"
139;12,22;42,23;"Anfiteatro Romano - su originale etrusco";"etruschi";"";"Sutri ";"abitato";"teatro";"";"Via Cassia";"Sutri";"VT";"LAZ"
140;12,10;42,00;"Via degli Inferi  - ingresso necrop.Banditaccia";"etruschi";"";"Cerveteri (Caere) ";"sepolture";"necropoli";"";"Via degli Inferi";"Cerveteri";"RM";"LAZ"
141;11,96;42,01;"santuario di Leucotea-Uni (V sec.a.C.)";"etruschi";"V a.c.";"Santa Severa (Pyrgi) ";"religione";"santuario";"";"Via Aurelia";"Santa Marinella";"RM";"LAZ"
142;11,87;42,40;"necropoli Madonna dell'Olivo";"etruschi";"";"Tuscania (Tuscana) ";"sepolture";"necropoli";"";"prima strada vicinale madonna dell'olivo";"Tuscania";"VT";"LAZ"
143;12,28;43,12;"necropoli Strozzacapponi";"etruschi";"";"Corciano PG ";"sepolture";"necropoli";"";"Via Francesco Ballerini";"Corciano";"PG";"UMB"
144;14,77;40,69;"ingresso area archeologica";"etruschi";"";"Fratte di Salerno ";"musei e parchi";"area archeologica";"";"SR88/b";"Salerno";"SA";"CAM"
145;14,88;40,64;"parco archeologico";"etruschi";"";"Pontecagnano ";"";"parco";"";"Autostrada A3 Napoli-Reggio Calabria";"Pontecagnano Faiano";"SA";"CAM"
155;10,23;42,77;"Castello Etrusco. Ruderi";"etruschi";"";"Marciana (Is.Elba) ";"difesa";"castello";"";"Via dei Forcioni";"Marciana";"LI";"TOS"
156;10,28;42,78;"Ruderi mura";"etruschi";"";"Castiglione S.Martino (Is.Elba) ";"abitato";"ruderi";"";"San Martino";"Portoferraio";"LI";"TOS"
157;10,38;43,72;"zona archeol Navi Antiche (V sec.aC)";"etruschi";"V a.c.";"Pisa ";"musei e parchi";"zona archeologica";"";"Via Ranuccio Bianchi Bandinelli";"Pisa";"PI";"TOS"
158;10,39;43,73;"Tumulo Principe Etrusco (VII sec.aC). v.San Jacopo";"etruschi";"VII a.c.";"Pisa ";"sepolture";"tumulo";"";"Via San Jacopo";"Pisa";"PI";"TOS"
159;10,40;43,71;"Cippo funerario etrusco (VI sec.aC) via La Pera";"etruschi";"VI a.c.";"Pisa ";"sepolture";"cippo";"";"";"Pisa";"PI";"TOS"
160;10,48;42,98;"percorso antiche mura";"etruschi";"";"Populonia ";"difesa";"mura";"";"";"Piombino";"LI";"TOS"
161;10,48;42,98;"percorso antiche mura";"etruschi";"";"Populonia ";"difesa";"mura";"";"";"Piombino";"LI";"TOS"
162;10,48;42,98;"Buche delle Fate - tombe (III sec.a.C.)";"etruschi";"III a.c.";"Populonia ";"sepolture";"tomba";"";"";"Piombino";"LI";"TOS"
163;10,49;42,98;"percorso antiche mura";"etruschi";"";"Populonia ";"difesa";"mura";"";"Piazza Curzio Desideri";"Piombino";"LI";"TOS"
164;10,49;42,98;"Museo Gasparri";"etruschi";"";"Populonia (Popluna) ";"";"museo";"056529436";"Piazza Curzio Desideri";"Piombino";"LI";"TOS"
165;10,49;42,99;"percorso antiche mura";"etruschi";"";"Populonia ";"difesa";"mura";"";"Piazza Curzio Desideri";"Piombino";"LI";"TOS"
166;10,49;42,98;"Loc. Baratti - tomba";"etruschi";"";"Populonia ";"sepolture";"tomba";"";"";"Piombino";"LI";"TOS"
167;10,49;42,99;"porto antico";"etruschi";"";"Populonia ";"navale";"porto";"";"";"Piombino";"LI";"TOS"
168;10,50;42,98;"necropoli La Cava del Tufo";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
169;10,50;42,98;"Loc. Baratti - tomba";"etruschi";"";"Populonia ";"sepolture";"tomba";"";"La via delle cave";"Piombino";"LI";"TOS"
170;10,50;42,98;"Baratti - Necrop Porcareccia (VII sec.aC)";"etruschi";"VII a.c.";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
171;10,50;42,97;"necropoli Fosso della Fredda";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
172;10,50;42,98;"quartiere industriale";"etruschi";"";"Populonia ";"";"";"";"La via delle cave";"Piombino";"LI";"TOS"
173;10,50;42,97;"tombe";"etruschi";"";"Populonia ";"sepolture";"tomba";"";"La via delle cave";"Piombino";"LI";"TOS"
174;10,50;42,98;"Baratti - Necrop S.Cerbone (VII sec.aC)";"etruschi";"VII a.c.";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
175;10,51;42,99;"necropoli Il Casone";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
176;10,51;42,97;"necropoli Malassarto";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
177;10,51;42,99;"necropoli Pian delle Granate";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"";"Piombino";"LI";"TOS"
178;10,52;42,99;"necropoli Poggio delle Granate";"etruschi";"";"Populonia ";"sepolture";"necropoli";"";"Via della Principessa";"San Vincenzo";"LI";"TOS"
179;10,83;45,10;"Parco Archeol Forcello (VI sec.aC)";"etruschi";"VI a.c.";"Bagnolo San Vito ";"";"parco";"";"SS413";"Bagnolo San Vito";"MN";"LOM"
180;10,83;45,10;"ingresso z.archeol Forcello";"etruschi";"";"Bagnolo San Vito ";"";"ingresso";"";"SS413";"Bagnolo San Vito";"MN";"LOM"
181;10,84;42,77;"necropoli Val Berretta (V sec. a.C.)";"etruschi";"V a.c.";"Vetulonia ";"sepolture";"necropoli";"";"Strada Provinciale 158 delle Collacchie";"Castiglione della Pescaia";"GR";"TOS"
182;10,84;42,86;"necropoli Pian d'Alma";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"";"Scarlino";"GR";"TOS"
183;10,84;42,86;"necropoli Pian d'Alma";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"";"Scarlino";"GR";"TOS"
184;10,84;42,85;"necropoli Pian d'Alma";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"Strada Provinciale 105 di Tirli";"Castiglione della Pescaia";"GR";"TOS"
185;10,84;42,85;"necropoli Pian d'Alma";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"Strada Provinciale 105 di Tirli";"Castiglione della Pescaia";"GR";"TOS"
186;10,97;42,85;"mura ciclopiche";"etruschi";"";"Vetulonia ";"difesa";"mura";"";"Via delle Madonna";"Castiglione della Pescaia";"GR";"TOS"
187;10,84;42,85;"Necropoli Pian d'Alma";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"Strada Provinciale 105 di Tirli";"Castiglione della Pescaia";"GR";"TOS"
188;10,97;42,85;"Museo Archeologico";"etruschi";"";"Vetulonia ";"";"museo";"0564948009";"Via XXI Aprile";"Castiglione della Pescaia";"GR";"TOS"
189;10,97;42,86;"scavi della citta'";"etruschi";"";"Vetulonia ";"abitato";"citta";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
190;10,97;42,86;"scavi della citta'";"etruschi";"";"Vetulonia ";"abitato";"citta";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
191;10,97;42,86;"scavi della citta'";"etruschi";"";"Vetulonia ";"abitato";"citta";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
192;10,98;42,86;"necropoli Poggio alla Guardia";"etruschi";"";"Vetulonia ";"sepolture";"necropoli";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
193;10,98;42,86;"Tomba del Belvedere";"etruschi";"";"Vetulonia ";"sepolture";"tomba";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
194;10,98;42,86;"Tomba del Littore";"etruschi";"";"Vetulonia ";"sepolture";"tomba";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
195;10,98;42,87;"Tomba del Duce";"etruschi";"";"Vetulonia ";"sepolture";"tomba";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
196;10,98;42,87;"Tomba della Pietrera (VII sec.a.C.)";"etruschi";"VII a.c.";"Vetulonia ";"sepolture";"tomba";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
197;10,98;42,87;"Tomba del Diavolino (VII sec.a.C.)";"etruschi";"VII a.c.";"Vetulonia ";"sepolture";"tomba";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
198;11,01;42,91;"necropoli Poggio Pelliccia";"etruschi";"";"Gavorrano ";"sepolture";"necropoli";"";"Strada Statale 1 Aurelia";"Gavorrano";"GR";"TOS"
199;11,00;42,92;"necropoli Poggio Pelliccia";"etruschi";"";"Gavorrano ";"sepolture";"necropoli";"";"Strada Statale 1 Aurelia";"Gavorrano";"GR";"TOS"
200;10,95;42,92;"necrop S.Germano (VI sec.aC)";"etruschi";"VI a.c.";"Giuncarico ";"sepolture";"necropoli";"0566846282";"Strada Statale 1 Aurelia";"Gavorrano";"GR";"TOS"
201;10,90;42,98;"Lago Accesa - Quartiere D";"etruschi";"";"Massa Marittima ";"";"";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
202;10,90;42,98;"Lago Accesa - Quartiere B";"etruschi";"";"Massa Marittima ";"";"";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
203;10,90;42,98;"Lago Accesa - Quartiere C";"etruschi";"";"Massa Marittima ";"";"";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
204;10,90;42,98;"Lago Accesa - Quartiere A";"etruschi";"";"Massa Marittima ";"";"";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
205;10,90;42,98;"ingresso zona archeologica dell'Acces";"etruschi";"";"Massa Marittima ";"musei e parchi";"zona archeologica";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
208;11,03;43,39;"necropoli Dometaia (VI sec.aC)";"etruschi";"VI a.c.";"Colle Val d'Elsa ";"sepolture";"necropoli";"";"Strada Regionale 68 di Val Cecina";"Colle di Val d'Elsa";"SI";"TOS"
209;10,86;43,40;"Museo Etrusco Guarnacci";"etruschi";"";"Volterra ";"";"museo";"058886347";"Via Don Minzoni";"Volterra";"PI";"TOS"
210;10,85;43,40;"zona archeologica Tempio B";"etruschi";"";"Volterra ";"musei e parchi";"zona archeologica";"";"Piazza Martiri della Libertà";"Volterra";"PI";"TOS"
211;10,85;43,40;"Via Porta all'Arco";"etruschi";"";"Volterra ";"architettonico";"porta";"";"Via della Porta all'Arco";"Volterra";"PI";"TOS"
212;10,85;43,40;"zona archeologica Tempio A";"etruschi";"";"Volterra (Velhatri) ";"musei e parchi";"zona archeologica";"";"Piazza Martiri della Libertà";"Volterra";"PI";"TOS"
213;10,85;43,40;"mura erusche della Berniona";"etruschi";"";"Volterra ";"difesa";"mura";"";"Via Rosetti";"Volterra";"PI";"TOS"
214;10,86;43,40;"Via Porta Diana";"etruschi";"";"Volterra ";"architettonico";"porta";"";"Via Porta Diana";"Volterra";"PI";"TOS"
215;10,85;43,41;"ipogei di San Giusto";"etruschi";"";"Volterra ";"ipogei";"ipogeo";"";"Strada Provinciale 15 Volterrana";"Volterra";"PI";"TOS"
216;10,86;43,41;"ipogeo di eta' ellenistica";"etruschi";"";"Volterra ";"ipogei";"ipogeo";"";"Via Porta Diana";"Volterra";"PI";"TOS"
217;10,86;43,41;"ipogeo di eta' ellenistica";"etruschi";"";"Volterra ";"ipogei";"ipogeo";"";"Via Porta Diana";"Volterra";"PI";"TOS"
218;10,85;43,41;"mura etrusche della Guerruccia";"etruschi";"";"Volterra ";"difesa";"mura";"";"Strada Provinciale 15 Volterrana";"Volterra";"PI";"TOS"
219;11,05;43,77;"Necropoli Prato Rosello - gruppo Tumuli";"etruschi";"";"Carmignano ";"sepolture";"necropoli";"";"";"Carmignano";"PO";"TOS"
220;11,04;43,77;"Necropoli Prato Rosello - parcheggio inizio";"etruschi";"";"Carmignano ";"sepolture";"necropoli";"";"Via Pineta";"Carmignano";"PO";"TOS"
221;11,04;43,78;"Artimino area archeol. (VII sec.aC)";"etruschi";"VII a.c.";"Carmignano ";"musei e parchi";"area archeologica";"";"Via Pineta";"Carmignano";"PO";"TOS"
222;11,03;43,78;"Artimino Museo Archeol. pz San Carlo";"etruschi";"";"Carmignano ";"";"museo";"05587";"Via Cinque Martiri";"Carmignano";"PO";"TOS"
223;11,29;42,40;"Tagliata Etrusca";"etruschi";"";"Ansedonia ";"";"";"";"Delle Rose";"Orbetello";"GR";"TOS"
224;11,28;42,41;"Mura poligonali Nord";"etruschi";"";"Ansedonia ";"difesa";"mura";"";"Via delle Ginestre";"Orbetello";"GR";"TOS"
226;11,20;42,43;"Mura Etrusche - Via Mura di Ponente";"etruschi";"";"Orbetello ";"difesa";"mura";"";"SP161";"Orbetello";"GR";"TOS"
227;11,26;42,54;"scavi della citta'";"etruschi";"";"Magliano ";"abitato";"citta";"";"SP160";"Orbetello";"GR";"TOS"
228;11,13;42,55;"Tempio etrusco";"etruschi";"";"Talamone (Telamon) ";"religione";"templi";"";"Via Cala di Forno";"Orbetello";"GR";"TOS"
229;11,11;42,76;"Mus.Archeolog. Pza Baccarini";"etruschi";"";"Grosseto ";"";"";"";"Via Caroli";"Grosseto";"GR";"TOS"
230;11,16;42,82;"Tombe a camera";"etruschi";"";"Roselle ";"sepolture";"tomba";"";"";"Grosseto";"GR";"TOS"
231;11,16;42,82;"Fontanile";"etruschi";"";"Roselle ";"";"";"";"";"Grosseto";"GR";"TOS"
232;11,16;42,82;"Tombe a camera";"etruschi";"";"Roselle ";"sepolture";"tomba";"";"";"Grosseto";"GR";"TOS"
